,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
116,-4.09826,-3.45413,0.624907,-251.348,11.0512,-88.4107,-70.175,40.882,54.6119,-9.8197,2353.99,168.282,77.3235,7232.43,2400.86,-66.9094,46.276
117,-4.08369,-3.84932,0.623891,-252.614,7.69686,-89.8198,-71.6924,41.104,54.4567,-9.52277,2354.08,171.27,76.204,6972.37,2400.87,-66.7138,46.276
118,-4.09782,-3.59826,0.624873,-251.441,11.1129,-87.9805,-70.8466,42.5474,54.0198,-9.35507,2354.05,171.919,76.8751,7085.18,2400.86,-66.8407,46.2759
119,-4.08417,-3.84932,0.623929,-252.628,8.7465,-89.8849,-71.529,41.8528,53.3864,-9.19245,2354.06,171.469,76.8326,7076.81,2400.86,-66.8782,46.276
120,-4.0973,-3.7658,0.624832,-250.853,9.53016,-87.7793,-71.1791,42.0417,54.2851,-10.1351,2354.15,175.497,75.3407,6771.16,2400.87,-66.4124,46.2759
121,-4.08473,-3.84932,0.623973,-251.1,7.98779,-88.5274,-71.4618,42.0476,53.8827,-9.23504,2354.2,176.87,75.0804,6707.68,2400.87,-66.2296,46.2759
122,-4.09669,-3.84932,0.624787,-251.263,9.04906,-87.8493,-71.2747,41.249,56.2673,-11.8277,2354.09,171.718,75.6529,6903.39,2400.87,-66.644,46.2759
123,-4.08536,-3.84932,0.624021,-252.541,9.96259,-87.8027,-72.8073,42.5888,54.3672,-10.5018,2354.09,173.762,76.2296,6932.71,2400.86,-66.8959,46.276
124,-4.09602,-3.84932,0.624736,-252.35,8.6808,-89.3189,-71.8659,41.8251,53.5625,-9.45076,2354.07,171.607,76.3429,6977.69,2400.86,-66.893,46.276
125,-4.08606,-3.84932,0.624075,-250.772,9.86187,-87.8908,-70.3667,41.37,55.0434,-9.50939,2354.01,168.413,76.371,7048.2,2400.86,-66.6124,46.2759
126,-4.09527,-3.84932,0.624681,-252.291,8.15194,-88.2498,-72.6826,42.3025,54.8589,-10.3455,2354.17,176.052,75.345,6756.95,2400.87,-66.5267,46.2759
127,-4.08683,-3.84891,0.624131,-250.546,10.2866,-87.5344,-70.6154,41.6664,54.781,-10.3104,2354.07,172.005,76.0235,6940.0,2400.86,-66.7165,46.2759
128,-4.09448,-3.83509,0.624622,-253.446,7.92272,-90.0546,-72.6078,41.8724,53.511,-9.09367,2354.07,171.682,76.607,7020.45,2400.86,-66.8898,46.276
129,-4.08765,-3.84932,0.624191,-250.608,11.0011,-86.7321,-71.3363,43.2242,53.9728,-9.48934,2354.18,177.999,75.3117,6724.05,2400.87,-66.4834,46.2759
130,-4.09364,-3.83681,0.624561,-253.878,7.3564,-90.1049,-72.8759,41.2574,55.0946,-10.4685,2354.03,168.925,76.5398,7051.01,2400.86,-66.8837,46.276
131,-4.0885,-3.84932,0.624254,-251.033,11.3331,-86.4991,-71.9965,42.8911,54.5233,-11.0903,2354.13,175.683,75.6846,6823.87,2400.86,-66.7022,46.2759
132,-4.09278,-3.84932,0.624497,-253.5,6.12301,-91.8753,-71.7578,40.6704,53.4773,-9.03468,2354.07,170.549,76.7819,7093.07,2400.87,-66.8779,46.276
133,-4.0894,-3.84932,0.624318,-250.906,12.795,-87.3461,-70.1035,42.6254,54.3972,-10.0856,2354.03,171.911,77.3537,7183.25,2400.86,-66.7713,46.2759
134,-4.09188,-3.84932,0.624432,-252.615,4.23492,-90.054,-73.3402,40.9152,54.4645,-10.2844,2354.17,173.647,74.4831,6649.25,2400.87,-66.4086,46.2759
135,-4.0903,-3.84932,0.624383,-251.187,12.9035,-87.5874,-70.5573,42.7325,53.4834,-10.0115,2354.0,170.545,77.5365,7228.05,2400.86,-66.9232,46.2759
136,-4.09097,-3.84932,0.624367,-253.803,4.36964,-92.4115,-71.952,39.5788,54.5909,-9.39563,2354.1,171.579,76.2691,7011.78,2400.87,-66.7565,46.276
137,-4.0912,-3.84932,0.624449,-250.036,12.9202,-86.0859,-70.0674,42.3714,55.438,-10.5728,2354.07,173.649,76.3696,6984.63,2400.86,-66.7598,46.2759
138,-4.09006,-3.74636,0.624302,-255.34,3.8181,-92.8658,-73.6985,39.1477,54.7784,-10.7127,2354.13,172.916,76.0791,6924.33,2400.87,-66.8146,46.276
139,-4.09211,-3.84891,0.624513,-250.285,13.0395,-86.2382,-70.9253,43.588,53.2603,-9.53723,2354.03,171.74,76.178,6959.19,2400.86,-66.8586,46.2759
140,-4.08917,-3.57674,0.624238,-255.75,4.52574,-93.2741,-73.2045,39.7457,54.7803,-10.1488,2353.99,166.538,77.5639,7299.98,2400.86,-67.1092,46.2761
141,-4.093,-3.84932,0.624577,-249.782,13.6365,-84.8234,-71.155,44.3628,54.3497,-10.5989,2354.08,174.3,75.9051,6880.29,2400.86,-66.6121,46.2759
142,-4.08829,-3.4359,0.624175,-256.274,2.6745,-92.7661,-76.0875,40.5659,53.4476,-10.9914,2354.1,171.327,75.7288,6875.43,2400.87,-66.9148,46.276
143,-4.09387,-3.84932,0.624636,-249.137,12.5382,-85.6547,-69.8902,41.7673,55.6308,-11.2419,2354.07,172.764,76.125,6975.66,2400.86,-66.6817,46.2758
145,-4.0947,-3.84932,0.624694,-249.485,13.0243,-84.6171,-71.3823,43.8148,54.4887,-10.3823,2354.11,175.21,75.3094,6750.47,2400.86,-66.6519,46.2759
146,-4.08665,-3.24025,0.62406,-256.288,2.71499,-94.211,-73.8955,39.5049,54.5424,-9.84383,2354.12,172.358,76.607,7033.17,2400.87,-66.9121,46.276
147,-4.09548,-3.78853,0.624749,-249.724,12.8458,-86.2181,-70.1738,41.4581,54.9729,-11.3853,2354.05,172.011,76.2605,6989.38,2400.86,-66.6755,46.2759
148,-4.08589,-3.18421,0.624008,-258.633,2.68573,-95.8399,-75.9583,39.1535,52.8584,-11.0801,2354.05,170.138,77.8754,7269.49,2400.86,-67.215,46.2761
