,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
2080,-2.23205,-0.666157,0.776835,-226.848,62.4319,-41.4138,-100.375,-38.1828,30.8932,48.9234,1545.59,150.525,90.0922,9692.26,1587.98,-70.4037,47.454
2081,-2.19343,-0.536221,0.776965,-230.958,56.7991,-47.1544,-104.648,-40.9987,28.7222,46.4702,1545.6,148.587,90.5053,9785.26,1587.98,-70.7814,47.4543
2082,-2.19197,-0.663851,0.773533,-230.452,58.2043,-46.524,-104.329,-39.2577,27.1714,48.0381,1545.6,149.419,90.8083,9830.04,1587.98,-70.8242,47.4543
2083,-2.23042,-0.183506,0.773024,-229.003,64.9148,-42.9314,-101.076,-37.2231,29.6898,47.131,1545.53,149.791,92.7313,10255.3,1587.98,-70.829,47.4541
2084,-2.23614,-0.66619,0.776402,-227.854,63.3589,-42.4687,-100.689,-38.3567,30.7522,46.8103,1545.54,148.839,91.6594,10085.9,1587.98,-70.5898,47.454
2085,-2.19826,-0.395678,0.777277,-231.394,58.8265,-47.7886,-103.913,-40.1587,28.475,45.9174,1545.58,149.236,92.3079,10183.8,1587.98,-70.7213,47.4543
2086,-2.18848,-0.660666,0.773999,-231.677,58.7349,-47.6312,-103.937,-40.7922,29.7671,45.174,1545.56,147.306,92.3265,10241.6,1587.98,-70.7364,47.4543
2087,-2.22519,-0.190731,0.77276,-227.09,63.2606,-41.8767,-99.7653,-38.2314,30.9406,48.513,1545.56,149.182,90.8756,9885.28,1587.98,-70.6101,47.4541
2088,-2.2391,-0.666209,0.775909,-227.044,64.5493,-42.0613,-99.4342,-36.8912,29.9747,48.7562,1545.6,153.333,91.1795,9846.23,1587.98,-70.5101,47.454
2089,-2.20379,-0.231978,0.777487,-230.125,59.6696,-45.4817,-103.698,-38.3926,28.6805,47.2056,1545.63,152.361,90.9781,9816.36,1587.98,-70.543,47.4542
2090,-2.18614,-0.66616,0.774518,-231.37,57.1453,-50.3553,-102.662,-41.8883,26.5689,48.3451,1545.58,148.304,92.4621,10247.4,1587.98,-70.4986,47.4543
2091,-2.21937,-0.302426,0.772608,-229.753,63.7966,-43.007,-102.429,-37.4671,29.5292,47.4959,1545.6,153.399,91.7836,9967.41,1587.98,-70.8027,47.4541
2092,-2.24082,-0.666183,0.775374,-229.615,65.4024,-40.7272,-102.386,-37.6481,31.8045,46.2692,1545.51,148.883,92.5923,10252.9,1587.98,-71.0135,47.4541
2093,-2.20977,-0.173795,0.77758,-231.539,61.5063,-45.0965,-104.844,-37.6668,28.9815,45.4611,1545.61,152.674,92.0017,10011.6,1587.98,-70.7379,47.4542
2094,-2.1851,-0.656931,0.775064,-233.385,57.2708,-49.7677,-105.726,-41.5982,28.4674,43.8382,1545.55,146.465,93.1244,10440.5,1587.98,-71.1352,47.4544
2095,-2.21325,-0.522556,0.772574,-228.465,63.1715,-43.4876,-100.979,-37.2897,29.9622,47.7299,1545.5,145.394,92.131,10237.8,1587.98,-70.8306,47.4542
2096,-2.2412,-0.66617,0.774826,-228.067,65.2986,-39.5344,-102.322,-35.0162,30.0847,48.3174,1545.61,154.201,90.4994,9663.37,1587.98,-70.6242,47.454
2097,-2.21592,-0.221037,0.777555,-229.703,62.0357,-43.3319,-102.71,-38.593,31.8288,45.5371,1545.56,148.432,91.6867,10078.0,1587.98,-70.7598,47.4542
2098,-2.18538,-0.666167,0.77561,-232.951,55.7579,-49.6133,-105.88,-42.6755,28.2165,44.715,1545.63,150.616,91.4837,9967.38,1587.98,-70.6081,47.4543
2099,-2.20713,-0.529125,0.772659,-228.707,61.1685,-45.1244,-101.521,-38.3444,28.1976,48.1324,1545.59,150.166,91.1489,9896.35,1587.98,-70.3745,47.4541
2100,-2.24024,-0.666167,0.774288,-225.964,62.5773,-41.51,-99.9545,-37.6359,28.91,49.0259,1545.58,150.227,89.6114,9597.6,1587.98,-70.3657,47.454
2101,-2.22196,-0.353203,0.777409,-227.853,60.1992,-42.3418,-102.599,-38.7852,30.1666,47.2453,1545.69,155.821,88.8947,9342.52,1587.98,-70.0359,47.4541
2102,-2.18701,-0.645791,0.776129,-231.647,55.0897,-49.4649,-105.411,-41.5899,26.4825,46.6405,1545.64,150.74,90.6379,9773.67,1587.98,-70.5768,47.4543
2103,-2.20132,-0.59572,0.772862,-228.823,60.8734,-44.9011,-101.73,-38.2222,29.1653,47.6588,1545.54,146.915,91.7092,10111.2,1587.98,-70.5602,47.4542
2104,-2.23796,-0.421261,0.773789,-227.67,65.4107,-41.3634,-99.4934,-37.3058,30.5939,49.3261,1545.46,145.17,92.6144,10342.8,1587.98,-70.9131,47.4541
2105,-2.22755,-0.556503,0.777154,-227.59,63.1233,-43.7331,-99.8341,-37.5994,29.8833,48.1391,1545.54,147.894,92.0106,10166.8,1587.98,-70.6852,47.4541
2106,-2.18985,-0.543382,0.7766,-231.698,56.4345,-48.7535,-104.694,-41.5023,27.5089,47.4496,1545.72,156.349,90.5098,9646.46,1587.98,-70.1693,47.4543
2107,-2.19605,-0.665978,0.773172,-230.054,59.6145,-46.6042,-102.835,-39.0632,27.2835,48.6116,1545.65,153.717,91.2112,9834.85,1587.98,-70.5814,47.4542
2108,-2.23448,-0.268666,0.773352,-227.765,64.0004,-42.366,-100.937,-36.5246,28.0728,48.753,1545.52,148.3,91.3998,9982.03,1587.98,-70.7419,47.4541
2109,-2.23246,-0.665981,0.776798,-230.337,64.9076,-42.7699,-102.97,-36.2666,28.9095,47.4556,1545.46,145.647,93.1651,10403.7,1587.98,-71.0224,47.4542
2110,-2.19384,-0.539965,0.776995,-233.434,59.0921,-47.9286,-106.526,-38.6934,26.6487,46.8006,1545.56,148.76,92.5953,10180.4,1587.98,-71.0656,47.4544
2111,-2.19163,-0.661097,0.773571,-231.122,59.9934,-47.0166,-103.497,-38.6634,27.6115,48.0291,1545.66,154.55,91.5384,9879.09,1587.98,-70.6539,47.4542
2112,-2.23,-0.180186,0.772997,-227.853,64.6227,-41.4198,-100.218,-37.5184,30.9203,48.9695,1545.61,153.554,91.3089,9876.12,1587.98,-70.6017,47.454
